"x","y","occ"
1852903.89964731,-3259662.14024583,1
1801553.85454801,-3345245.54874466,1
1852903.89964731,-3379478.9121442,1
1767320.49114847,-3636229.13764072,1
1707412.10519929,-3670462.50104025,1
1861462.2404972,-3011470.25559919,1
1467778.56140254,-2446619.75950685,1
1784437.17284824,-3336687.20789478,1
-1442057.327558,-4012796.13503561,1
1519128.60650184,-3892979.36313723,1
997069.814658921,-4072704.5209848,1
1844345.55879743,-3268220.48109571,1
1835787.21794754,-3174078.73174699,1
1519128.60650184,-3764604.25038898,1
1270936.72185521,-4012796.13503561,1
1536245.28820161,-4012796.13503561,1
1844345.55879743,-3233987.11769617,1
1852903.89964731,-3336687.20789478,1
1459220.22055265,-4115496.22523422,1
1322286.76695451,-4055587.83928503,1
1604712.01500068,-3884421.02228735,1
1587595.33330091,-3516412.36574234,1
-1476290.69095753,-4021354.47588549,1
1852903.89964731,-3242545.45854606,1
1827228.87709766,-3439387.29809339,1
1647503.7192501,-3687579.18274002,1
1852903.89964731,-3131287.02749757,1
1467778.56140254,-3961446.08993631,1
902928.065310197,-4303779.72393166,1
1467778.56140254,-2540761.50885558,1
1698853.7643494,-2891653.48370082,1
1861462.2404972,-3379478.9121442,1
1493453.58395219,-3833070.97718805,1
997069.814658921,-4226754.65628271,1
1878578.92219696,-3139845.36834745,1
1861462.2404972,-3362362.23044443,1
440777.659416466,-3970004.43078619,1
1544803.62905149,-3892979.36313723,1
1202469.99505613,-2078611.10296184,1
997069.814658921,-1659252.40131753,1
1870020.58134708,-3259662.14024583,1
1878578.92219696,-3328128.8670449,1
1185353.31335637,-4346571.42818108,1
1005628.1555088,-1667810.74216742,1
1262378.38100532,-2258336.26080941,1
997069.814658921,-4338013.0873312,1
1502011.92480207,-4038471.15758526,1
1878578.92219696,-3396595.59384397,1
1022744.83720857,-4081262.86183468,1
868694.701910662,-4183962.95203329,1
1792995.51369813,-3490737.34319269,1
1664620.40094987,-3713254.20528967,1
706086.225762867,-4320896.40563143,1
1870020.58134708,-3148403.70919733,1
1707412.10519929,-3319570.52619501,1
1835787.21794754,-3114170.3457978,1
1211028.33590602,-2052936.08041219,1
-1698807.55305451,-3918654.38568689,1
1852903.89964731,-3396595.59384397,1
1347961.78950416,-4312338.06478155,1
1313728.42610463,-4278104.70138201,1
1664620.40094987,-3798837.61378851,1
1835787.21794754,-3439387.29809339,1
1724528.78689905,-3456503.97979316,1
988511.473809037,-4183962.95203329,1
1236703.35845567,-4047029.49843515,1
1484895.2431023,-3961446.08993631,1
-1604665.80370579,-3961446.08993631,1
1630387.03755033,-3661904.16019037,1
1775878.83199836,-3456503.97979316,1
1852903.89964731,-3233987.11769617,1
1236703.35845567,-2061494.42126208,1
1647503.7192501,-3798837.61378851,1
1270936.72185521,-3961446.08993631,1
1733087.12774894,-3439387.29809339,1
1630387.03755033,-3644787.4784906,1
1065536.54145799,-4192521.29288317,1
1861462.2404972,-3396595.59384397,1
1878578.92219696,-3353803.88959455,1
1741645.46859882,-3465062.32064304,1
843019.67936101,-4355129.76903097,1
-1707365.8939044,-3918654.38568689,1
1493453.58395219,-4055587.83928503,1
1818670.53624778,-3388037.25299408,1
1279495.06270509,-4312338.06478155,1
851578.020210894,-4158287.92948364,1
-1733040.91645405,-3918654.38568689,1
1202469.99505613,-2052936.08041219,1
1870020.58134708,-3054261.95984861,1
1270936.72185521,-4089821.20268457,1
1852903.89964731,-3405153.93469385,1
1091211.56400764,-4372246.45073073,1
1715970.44604917,-3370920.57129432,1
1279495.06270509,-4081262.86183468,1
1887137.26304685,-3362362.23044443,1
1493453.58395219,-2686253.3033036,1
1758762.15029859,-3524970.70659223,1
1322286.76695451,-4320896.40563143,1
-1433498.98670811,-4021354.47588549,1
1810112.19539789,-3499295.68404257,1
1108328.24570741,-4209637.97458294,1
-1724482.57560417,-3935771.06738666,1
1775878.83199836,-3302453.84449525,1
1305170.08525474,-4012796.13503561,1
1750203.80944871,-3405153.93469385,1
1022744.83720857,-4295221.38308178,1
1835787.21794754,-3422270.61639362,1
1861462.2404972,-3242545.45854606,1
1262378.38100532,-2249777.91995952,1
1561920.31075126,-3910096.044837,1
1005628.1555088,-4380804.79158062,1
1852903.89964731,-3422270.61639362,1
1810112.19539789,-3465062.32064304,1
1715970.44604917,-3165520.3908971,1
783111.293411823,-4192521.29288317,1
-1707365.8939044,-3970004.43078619,1
1527686.94735172,-4012796.13503561,1
1390753.49375358,-3790279.27293863,1
1844345.55879743,-3242545.45854606,1
1587595.33330091,-3781720.93208874,1
1519128.60650184,-3944329.40823654,1
954278.110409501,-4355129.76903097,1
415102.636866814,-3961446.08993631,1
920044.747009966,-4201079.63373306,1
1741645.46859882,-3379478.9121442,1
-1467732.35010765,-4021354.47588549,1
1750203.80944871,-3456503.97979316,1
1835787.21794754,-3105612.00494791,1
1844345.55879743,-3336687.20789478,1
1870020.58134708,-3156962.05004722,1
1168236.6316566,-4089821.20268457,1
1861462.2404972,-3285337.16279548,1
-1733040.91645405,-3952887.74908642,1
1211028.33590602,-2087169.44381173,1
1870020.58134708,-3208312.09514652,1
1211028.33590602,-2070052.76211196,1
962836.451259385,-4260988.01968224,1
1870020.58134708,-3362362.23044443,1
-1707365.8939044,-3807395.9546384,1
1861462.2404972,-3336687.20789478,1
937161.428709733,-4072704.5209848,1
1305170.08525474,-4312338.06478155,1
1476336.90225242,-3850187.65888782,1
1074094.88230788,-4372246.45073073,1
928603.087859849,-4243871.33798248,1
1056978.20060811,-4183962.95203329,1
1861462.2404972,-3388037.25299408,1
1125444.92740718,-4723138.42557598,1
1758762.15029859,-3430828.9572435,1
1416428.51630323,-4252429.67883236,1
1741645.46859882,-3567762.41084165,1
1005628.1555088,-4106937.88438433,1
1279495.06270509,-4295221.38308178,1
1861462.2404972,-3405153.93469385,1
1459220.22055265,-4098379.54353445,1
834461.338511126,-4397921.47328039,1
1844345.55879743,-3251103.79939594,1
1596153.67415079,-3756045.90953909,1
1407870.17545335,-4303779.72393166,1
1116886.5865573,-4106937.88438433,1
1099769.90485753,-4175404.6111834,1
1656062.06009998,-3542087.388292,1
1048419.85975822,-4260988.01968224,1
1022744.83720857,-4389363.1324305,1
988511.473809037,-4175404.6111834,1
1296611.74440486,-4038471.15758526,1
1484895.2431023,-3918654.38568689,1
1630387.03755033,-3473620.66149292,1
1168236.6316566,-4363688.10988085,1
1407870.17545335,-3987121.11248596,1
1852903.89964731,-3216870.43599641,1
-1681690.87135475,-3884421.02228735,1
877253.042760546,-4372246.45073073,1
1835787.21794754,-3208312.09514652,1
1827228.87709766,-3242545.45854606,1
1416428.51630323,-4260988.01968224,1
1056978.20060811,-4791605.15237505,1
1399311.83460346,-4235312.99713259,1
-141189.51837564,-3319570.52619501,0
945719.769559617,-1599344.01536835,0
-569106.560869836,-2883095.14285093,0
834461.338511126,-2891653.48370082,0
-141189.51837564,-2035819.39871243,0
115560.707120877,-3790279.27293863,0
192585.774769832,-3345245.54874466,0
261052.501568904,-2883095.14285093,0
1211028.33590602,-2609228.23565465,0
312402.546668207,-1659252.40131753,0
-483523.152370997,-3370920.57129432,0
-954231.899114613,-2446619.75950685,0
-261006.290274015,-2438061.41865697,0
-338031.357922971,-2592111.55395488,0
560594.431314841,-3114170.3457978,0
-748831.718717399,-2737603.34840291,0
124119.047970761,-3114170.3457978,0
1296611.74440486,-4149729.58863375,0
671852.862363332,-4132612.90693399,0
1502011.92480207,-3918654.38568689,0
141235.729670529,-1556552.31111893,0
-1433498.98670811,-3559204.06999176,0
-106956.154976105,-1975911.01276324,0
-551989.879170069,-2138519.48891103,0
-1527640.73605684,-2925886.84710035,0
-937115.217414845,-1941677.6493637,0
560594.431314841,-2361036.35100801,0
1048419.85975822,-1761952.49151614,0
-902881.854015309,-3302453.84449524,0
1365078.47120393,-3174078.73174699,0
-209656.245174712,-3225428.77684629,0
-269564.631123899,-2172752.85231057,0
1382195.1529037,-3807395.9546384,0
843019.67936101,-2284011.28335906,0
928603.087859849,-1488085.58431985,0
1775878.83199836,-3114170.3457978,0
1382195.1529037,-2326802.98760848,0
483569.363665886,-3978562.77163607,0
-1424940.64585823,-2823186.75690175,0
1852903.89964731,-3182637.07259687,0
-902881.854015309,-1873210.92256463,0
988511.473809037,-3208312.09514652,0
-278122.971973783,-1993027.69446301,0
1134003.26825706,-4021354.47588549,0
355194.250917627,-2301127.96505883,0
654736.180663564,-2857420.12030128,0
-1553315.75860649,-3405153.93469385,0
-492081.493220881,-2309686.30590871,0
1253820.04015544,-3601995.77424118,0
-551989.879170069,-3122728.68664768,0
55652.3211716897,-3542087.38829199,0
-1210982.12461113,-3242545.45854606,0
-295239.653673551,-1684927.42386718,0
-1390707.28245869,-2497969.80460616,0
1347961.78950416,-2609228.23565465,0
-201097.904324828,-1847535.90001498,0
98444.0254211093,-1830419.21831521,0
-603339.924269372,-2318244.64675859,0
-1578990.78115614,-3987121.11248596,0
389427.614317162,-3756045.90953909,0
1356520.13035405,-2703369.98500337,0
312402.546668207,-3413712.27554374,0
107002.366270993,-1898885.94511428,0
1296611.74440486,-3071378.64154838,0
-355148.039622738,-2686253.3033036,0
-21372.7464772656,-1565110.65196881,0
962836.451259385,-1873210.92256463,0
1544803.62905149,-3550645.72914188,0
-175422.881775176,-2010144.37616277,0
-380823.06217239,-1984469.35361312,0
1228145.01760579,-2763278.37095256,0
1476336.90225242,-2463736.44120662,0
-723156.696167747,-3165520.3908971,0
611944.476414144,-3499295.68404257,0
954278.110409501,-1599344.01536835,0
1048419.85975822,-3465062.32064304,0
1656062.06009998,-3756045.90953909,0
1365078.47120393,-3020028.59644908,0
269610.842418788,-1984469.35361312,0
-817298.44551647,-3601995.77424118,0
-1296565.53310997,-3593437.4333913,0
1579036.99245103,-3490737.34319269,0
89885.6845712253,-3636229.13764072,0
1116886.5865573,-2446619.75950685,0
-603339.924269372,-2574994.87225511,0
988511.473809037,-3336687.20789478,0
-979906.921664264,-2275452.94250917,0
1048419.85975822,-4355129.76903097,0
-1698807.55305451,-3507854.02489246,0
-397939.743872158,-3233987.11769617,0
-1852857.68835242,-3311012.18534513,0
81327.3437213414,-1761952.49151614,0
-1433498.98670811,-3456503.97979316,0
-1561874.09945637,-3952887.74908642,0
-1365032.25990904,-3465062.32064304,0
868694.701910662,-1547993.97026904,0
-38489.4281770334,-2566436.53140523,0
1142561.60910695,-2943003.52880012,0
-1399265.62330858,-3405153.93469385,0
971394.792109269,-3396595.59384397,0
-1014140.2850638,-1984469.35361312,0
560594.431314841,-4047029.49843515,0
-1091165.35271276,-2917328.50625047,0
1031303.17805846,-1496643.92516974,0
1596153.6741508,-3670462.50104025,0
-1741599.25730393,-3028586.93729896,0
-979906.921664264,-3311012.18534513,0
-971348.58081438,-2746161.68925279,0
-791623.422966818,-2335361.32845836,0
-877206.831465657,-3576320.75169153,0
-1305123.87395985,-3242545.45854606,0
-637573.287668908,-3131287.02749757,0
55652.3211716897,-2900211.8245507,0
115560.707120877,-1513760.60686951,0
800227.975111591,-3704695.86443979,0
-868648.490615773,-2395269.71440755,0
-1416382.30500834,-3841629.31803793,0
731761.248312519,-3388037.25299408,0
312402.546668207,-2532203.16800569,0
-723156.696167747,-2446619.75950685,0
-1108282.03441252,-3841629.31803793,0
466452.681966118,-2703369.98500337,0
303844.205818323,-2865978.46115116,0
-440731.448121578,-2266894.60165929,0
-1082607.01186287,-2224102.89740987,0
1818670.53624778,-3251103.79939594,0
-1450615.66840788,-3807395.9546384,0
432219.318566582,-2147077.82976092,0
971394.792109269,-1539435.62941916,0
-1407823.96415846,-3978562.77163607,0
-149747.859225524,-2164194.51146068,0
-440731.448121578,-2446619.75950685,0
1116886.5865573,-4295221.38308178,0
115560.707120877,-2224102.89740987,0
637619.498963796,-3858745.9997377,0
-1082607.01186287,-3336687.20789478,0
-1253773.82886055,-3653345.81934049,0
723202.907462635,-3199753.75429664,0
-21372.7464772656,-3011470.25559919,0
-440731.448121578,-1753394.15066626,0
1296611.74440486,-3815954.29548828,0
-885765.172315541,-2891653.48370082,0
-329473.017073087,-3097053.66409803,0
-654689.969368675,-3422270.61639362,0
774552.952561939,-2883095.14285093,0
594827.794714376,-2797511.73435209,0
-363706.380472622,-3182637.07259687,0
-1827182.66580277,-3439387.29809339,0
440777.659416466,-2669136.62160383,0
629061.158113912,-2806070.07520198,0
-21372.7464772656,-1830419.21831521,0
671852.862363332,-3490737.34319269,0
1228145.01760579,-3268220.48109571,0
731761.248312519,-3447945.63894327,0
261052.501568904,-2694811.64415349,0
-1048373.64846334,-3370920.57129432,0
1450661.87970277,-3071378.64154838,0
1553361.96990138,-2643461.59905418,0
-1501965.71350718,-2643461.59905418,0
-389381.403022274,-1770510.83236602,0
-106956.154976105,-1821860.87746533,0
-1972674.4602508,-3062820.3006985,0
-278122.971973783,-2181311.19316045,0
-509198.174920649,-3413712.27554374,0
-1972674.4602508,-3182637.07259687,0
380869.273467279,-3088495.32324815,0
1544803.62905149,-3798837.61378851,0
-132631.177525757,-2369594.6918579,0
-449289.788971461,-3533529.04744211,0
-1775832.62070347,-2968678.55134977,0
997069.814658921,-3233987.11769617,0
1579036.99245103,-2908770.16540058,0
149794.070520413,-2583553.213105,0
765994.611712055,-4081262.86183468,0
-1313682.21480974,-3833070.97718805,0
-988465.262514148,-3045703.61899873,0
1690295.42349952,-2943003.52880012,0
1125444.92740718,-4894305.24257365,0
-124072.836675873,-1744835.80981637,0
-1142515.39781206,-3670462.50104025,0
1099769.90485753,-3319570.52619501,0
1211028.33590602,-3268220.48109571,0
-757390.059567283,-2883095.14285093,0
-1005581.94421392,-2463736.44120662,0
997069.814658921,-2823186.75690175,0
-432173.107271694,-3122728.68664768,0
603386.13556426,-4149729.58863375,0
372310.932617395,-3054261.95984861,0
-1553315.75860649,-3875862.68143747,0
-1031256.96676357,-2138519.48891103,0
1193911.65420625,-2224102.89740987,0
1681737.08264963,-3696137.52358991,0
-654689.969368675,-2823186.75690175,0
107002.366270993,-2147077.82976092,0
979953.132959153,-1993027.69446301,0
1048419.85975822,-3636229.13764072,0
-474964.811521113,-2848861.7794514,0
329519.228367975,-2900211.8245507,0
594827.794714376,-3781720.93208874,0
-1279448.8514102,-2720486.66670314,0
1570478.65160114,-2840303.43860151,0
594827.794714376,-3610554.11509107,0
-1604665.80370579,-3747487.56868921,0
-1151073.73866194,-3773162.59123886,0
-474964.811521113,-2626344.91735442,0
1442103.53885288,-2771836.71180244,0
-1296565.53310997,-2951561.86965,0
-183981.22262506,-1941677.6493637,0
1442103.53885288,-3165520.3908971,0
-868648.490615773,-3447945.63894327,0
-1270890.51056032,-3028586.93729896,0
320960.887518091,-2557878.19055534,0
-1125398.71611229,-2609228.23565465,0
-1185307.10206148,-3242545.45854606,0
620502.817264028,-2172752.85231057,0
988511.473809037,-1941677.6493637,0
-1074048.67101299,-3456503.97979316,0
1347961.78950416,-4252429.67883236,0
-243889.608574247,-2523644.82715581,0
-21372.7464772656,-3567762.41084165,0
141235.729670529,-1761952.49151614,0
997069.814658921,-2652019.93990407,0
-962790.239964497,-2977236.89219966,0
1168236.6316566,-2694811.64415349,0
-646131.628518792,-3644787.4784906,0
1185353.31335637,-2266894.60165929,0
-1450615.66840788,-2652019.93990407,0
406544.29601693,-3952887.74908642,0
1356520.13035405,-3268220.48109571,0
834461.338511126,-3935771.06738665,0
-1613224.14455567,-3097053.66409803,0
988511.473809037,-4346571.42818108,0
-1433498.98670811,-2600669.89480476,0
-646131.628518792,-2361036.35100801,0
-1561874.09945637,-3473620.66149292,0
1373636.81205381,-3028586.93729896,0
72769.0028714575,-3079936.98239826,0
1168236.6316566,-3576320.75169153,0
1159678.29080672,-4654671.6987769,0
-226772.92687448,-2018702.71701266,0
1827228.87709766,-3430828.9572435,0
-1270890.51056032,-3738929.22783932,0
765994.611712055,-3738929.22783932,0
-1510524.05435707,-3105612.00494791,0
1125444.92740718,-2087169.44381173,0
-372264.721322506,-3507854.02489246,0
-1998349.48280045,-2960120.21049989,0
731761.248312519,-2566436.53140523,0
1056978.20060811,-3704695.86443979,0
791669.634261707,-3114170.3457978,0
671852.862363332,-3233987.11769617,0
1022744.83720857,-1881769.26341451,0
-1236657.14716078,-2198427.87486022,0
-509198.174920649,-1753394.15066626,0
1039861.51890834,-3644787.4784906,0
1758762.15029859,-3439387.29809339,0
-209656.245174712,-3353803.88959455,0
-1784390.96155335,-3199753.75429664,0
-1074048.67101299,-2831745.09775163,0
552036.090464957,-2771836.71180244,0
-1270890.51056032,-3490737.34319269,0
748877.930012287,-2284011.28335906,0
-492081.493220881,-2343919.66930825,0
-192539.563474944,-3088495.32324815,0
-1074048.67101299,-2472294.7820565,0
-47047.7690269173,-2164194.51146068,0
680411.203213216,-3858745.9997377,0
825902.997661242,-3927212.72653677,0
569152.772164725,-4260988.01968224,0
1476336.90225242,-3413712.27554374,0
-1741599.25730393,-2865978.46115116,0
1211028.33590602,-3233987.11769617,0
-192539.563474944,-1736277.46896649,0
-611898.265119256,-2275452.94250917,0
1322286.76695451,-3208312.09514652,0
-885765.172315541,-2814628.41605186,0
-175422.881775176,-2412386.39610732,0
1125444.92740718,-3627670.79679083,0
-1895649.39260184,-2874536.80200105,0
-1707365.8939044,-3524970.70659223,0
483569.363665886,-3122728.68664768,0
363752.591767511,-3610554.11509107,0
1108328.24570741,-3482179.00234281,0
380869.273467279,-2078611.10296184,0
-432173.107271694,-1513760.60686951,0
-106956.154976105,-3028586.93729896,0
1056978.20060811,-2429503.07780709,0
1450661.87970277,-3756045.90953909,0
954278.110409501,-3781720.93208874,0
706086.225762867,-3781720.93208874,0
-1296565.53310997,-2754720.03010267,0
-2041141.18704987,-2857420.12030128,0
629061.158113912,-2617786.57650453,0
-757390.059567283,-3413712.27554374,0
-1690249.21220463,-3841629.31803793,0
-842973.468066122,-2960120.21049989,0
-611898.265119256,-1847535.90001498,0
175469.093070065,-2677694.96245372,0
1125444.92740718,-4706021.74387621,0
132677.388820645,-3122728.68664768,0
-885765.172315541,-1719160.78726672,0
-663248.31021856,-2455178.10035674,0
-611898.265119256,-2831745.09775163,0
1784437.17284824,-2891653.48370082,0
201144.115619716,-1796185.85491568,0
1519128.60650184,-3952887.74908642,0
-945673.558264729,-2275452.94250917,0
-1578990.78115614,-3601995.77424118,0
654736.180663564,-4072704.5209848,0
1604712.01500068,-2652019.93990407,0
-64164.4507266852,-1779069.17321591,0
-517756.515770533,-3507854.02489246,0
-671806.651068443,-2172752.85231057,0
-303797.994523435,-2626344.91735442,0
1596153.6741508,-2823186.75690175,0
192585.774769832,-1753394.15066626,0
-919998.535715077,-1761952.49151614,0
-928556.876564961,-2318244.64675859,0
1022744.83720857,-2087169.44381173,0
-723156.696167747,-2515086.48630592,0
1527686.94735172,-3105612.00494791,0
1570478.65160114,-2891653.48370082,0
158352.411370297,-2352478.01015813,0
-731715.037017631,-3174078.73174699,0
902928.065310198,-1898885.94511428,0
-98397.8141262209,-2395269.71440755,0
1382195.1529037,-3225428.77684629,0
-911440.194865193,-2284011.28335906,0
654736.180663564,-2934445.18795024,0
-492081.493220881,-3328128.8670449,0
-817298.44551647,-2720486.66670314,0
1587595.33330091,-3062820.3006985,0
834461.338511126,-1941677.6493637,0
492127.70451577,-2540761.50885558,0
1305170.08525474,-3251103.79939594,0
-1733040.91645405,-2626344.91735442,0
1296611.74440486,-2326802.98760848,0
1142561.60910695,-4081262.86183468,0
1134003.26825706,-2951561.86965,0
-1125398.71611229,-2292569.62420894,0
1313728.42610463,-3738929.22783932,0
911486.406160082,-3191195.41344675,0
475011.022816002,-4029912.81673538,0
979953.132959153,-4731696.76642586,0
534919.408765189,-3533529.04744211,0
-98397.8141262209,-1368268.81242148,0
1074094.88230788,-3011470.25559919,0
-1442057.327558,-3721812.54613956,0
979953.132959153,-1856094.24086486,0
-1236657.14716078,-2694811.64415349,0
-312356.335373319,-1530877.28856927,0
363752.591767511,-3559204.06999176,0
-560548.220019952,-2070052.76211196,0
-825856.786366354,-1993027.69446301,0
1159678.29080672,-1950235.99021359,0
-569106.560869836,-3045703.61899873,0
-312356.335373319,-2420944.7369572,0
997069.814658921,-3311012.18534513,0
500686.045365653,-3850187.65888782,0
1074094.88230788,-2968678.55134977,0
-1476290.69095753,-3482179.00234281,0
1758762.15029859,-3533529.04744211,0
-1048373.64846334,-3815954.29548828,0
-834415.127216238,-3105612.00494791,0
-1527640.73605684,-3661904.16019037,0
132677.388820645,-2925886.84710035,0
-1878532.71090208,-3362362.23044443,0
1056978.20060811,-4089821.20268457,0
-1467732.35010765,-2925886.84710035,0
-509198.174920649,-3550645.72914188,0
748877.930012287,-3533529.04744211,0
-372264.721322506,-3199753.75429664,0
1433545.198003,-2532203.16800569,0
423660.977716698,-3285337.16279548,0
-320914.676223203,-1530877.28856927,0
-1613224.14455567,-2891653.48370082,0
252494.16071902,-2292569.62420894,0
1074094.88230788,-2532203.16800569,0
-457848.129821345,-1650694.06046765,0
-1022698.62591368,-3473620.66149292,0
-1578990.78115614,-3114170.3457978,0
1561920.31075126,-2523644.82715581,0
-1638899.16710533,-3653345.81934049,0
808786.315961474,-3045703.61899873,0
-346589.698772854,-1488085.58431985,0
-141189.51837564,-1359710.4715716,0
1424986.85715312,-3927212.72653677,0
-175422.881775176,-2181311.19316045,0
-1981232.80110068,-3114170.3457978,0
21418.957772154,-1856094.24086486,0
-47047.7690269173,-3516412.36574234,0
988511.473809037,-1445293.88007043,0
-1681690.87135475,-2592111.55395488,0
64210.6620215736,-2301127.96505883,0
-1501965.71350718,-3362362.23044443,0
560594.431314841,-2746161.68925279,0
954278.110409501,-1984469.35361312,0
-226772.92687448,-3396595.59384397,0
-1390707.28245869,-3071378.64154838,0
-1715924.23475428,-3619112.45594095,0
-1724482.57560417,-3156962.05004722,0
1596153.6741508,-3815954.29548828,0
-64164.4507266852,-2395269.71440755,0
1065536.54145799,-2883095.14285093,0
517802.727065421,-2095727.78466161,0
175469.093070065,-1419618.85752078,0
-338031.357922971,-3456503.97979316,0
757436.270862171,-2241219.57910964,0
-954231.899114613,-2087169.44381173,0
-1005581.94421392,-2908770.16540058,0
209702.4564696,-3268220.48109571,0
141235.729670529,-3798837.61378851,0
-945673.558264729,-2883095.14285093,0
-1476290.69095753,-3644787.4784906,0
-1176748.76121159,-2472294.7820565,0
-12814.4056273817,-1625019.037918,0
1022744.83720857,-2361036.35100801,0
1288053.40355497,-2172752.85231057,0
440777.659416466,-3345245.54874466,0
-158306.200075408,-1556552.31111893,0
714644.566612751,-3071378.64154838,0
-971348.58081438,-2711928.32585325,0
492127.70451577,-3679020.84189014,0
971394.792109269,-2095727.78466161,0
1424986.85715312,-3550645.72914188,0
-1801507.64325312,-2857420.12030128,0
-654689.969368675,-2095727.78466161,0
12860.6169222701,-1547993.97026904,0
1313728.42610463,-3328128.8670449,0
-1775832.62070347,-2960120.21049989,0
-89839.4732763369,-2600669.89480476,0
466452.681966118,-3302453.84449524,0
-1365032.25990904,-3559204.06999176,0
-175422.881775176,-2874536.80200105,0
526361.067915305,-2138519.48891103,0
-141189.51837564,-2378153.03270778,0
-278122.971973783,-3225428.77684629,0
-355148.039622738,-1505202.26601962,0
492127.70451577,-2703369.98500337,0
-646131.628518792,-2977236.89219966,0
-1048373.64846334,-1950235.99021359,0
-688923.332768211,-3054261.95984861,0
-817298.44551647,-2412386.39610732,0
860136.361060778,-3841629.31803793,0
492127.70451577,-2677694.96245372,0
-64164.4507266852,-3516412.36574234,0
611944.476414144,-3850187.65888782,0
979953.132959153,-2052936.08041219,0
1262378.38100532,-3867304.34058758,0
-1365032.25990904,-2831745.09775163,0
1553361.96990138,-2788953.39350221,0
-1570432.44030625,-3858745.9997377,0
1519128.60650184,-3875862.68143747,0
552036.090464957,-3901537.70398712,0
1476336.90225242,-3002911.91474931,0
-1116840.37526241,-3465062.32064304,0
303844.205818323,-2643461.59905418,0
902928.065310198,-4115496.22523422,0
-1082607.01186287,-2797511.73435209,0
-663248.31021856,-3319570.52619501,0
-1074048.67101299,-2857420.12030128,0
1056978.20060811,-3370920.57129432,0
-1544757.4177566,-3285337.16279548,0
-1792949.30240324,-2592111.55395488,0
937161.428709733,-2129961.14806115,0
1373636.81205381,-3037145.27814884,0
1630387.03755033,-3473620.66149292,0
629061.158113912,-3584879.09254141,0
1459220.22055265,-2840303.43860151,0
-1527640.73605684,-3584879.09254141,0
-303797.994523435,-2994353.57389942,0
-1878532.71090208,-2951561.86965,0
-12814.4056273817,-3576320.75169153,0
-1270890.51056032,-2412386.39610732,0
-937115.217414845,-2369594.6918579,0
-106956.154976105,-2112844.46636138,0
894369.724460314,-3370920.57129432,0
483569.363665886,-2917328.50625047,0
-201097.904324828,-1813302.53661544,0
184027.433919948,-3011470.25559919,0
1176794.97250648,-3550645.72914188,0
971394.792109269,-2378153.03270778,0
475011.022816002,-2711928.32585325,0
680411.203213216,-3773162.59123886,0
-954231.899114613,-3644787.4784906,0
928603.087859849,-3721812.54613956,0
226819.138169368,-1993027.69446301,0
-697481.673618095,-2925886.84710035,0
928603.087859849,-2703369.98500337,0
-1801507.64325312,-3071378.64154838,0
1185353.31335637,-2070052.76211196,0
432219.318566582,-3593437.4333913,0
286727.524118555,-3952887.74908642,0
509244.386215537,-2891653.48370082,0
492127.70451577,-2301127.96505883,0
